cell_name,cell_type,x,y
drc_buf_sp164977,BUFx12f_ASAP7_75t_R,26064,2898
drc_buf_sp164978,BUFx12f_ASAP7_75t_R,24984,3168
drc_buf_sp164979,BUFx12f_ASAP7_75t_R,25632,3708
drc_buf_sp164980,BUFx12f_ASAP7_75t_R,24984,3978
drc_buf_sp164981,BUFx12f_ASAP7_75t_R,24984,2898
drc_buf_sp164982,BUFx12f_ASAP7_75t_R,25902,4248
drc_buf_sp164983,BUFx12f_ASAP7_75t_R,26064,4518
drc_buf_sp164984,BUFx12f_ASAP7_75t_R,25632,2628
drc_buf_sp165026,BUFx12f_ASAP7_75t_R,25200,4788
drc_buf_sp165027,BUFx12f_ASAP7_75t_R,24984,6678
drc_buf_sp165028,BUFx12f_ASAP7_75t_R,24336,6408
drc_buf_sp165029,BUFx12f_ASAP7_75t_R,24282,6948
drc_buf_sp165030,BUFx12f_ASAP7_75t_R,24984,5058
drc_buf_sp165031,BUFx12f_ASAP7_75t_R,24012,5058
drc_buf_sp165032,BUFx12f_ASAP7_75t_R,24282,6138
drc_buf_sp165033,BUFx12f_ASAP7_75t_R,23958,4518
drc_buf_sp165077,BUFx12f_ASAP7_75t_R,26928,5058
drc_buf_sp165078,BUFx12f_ASAP7_75t_R,27252,29898
drc_buf_sp165079,BUFx12f_ASAP7_75t_R,25578,8568
drc_buf_sp165082,BUFx12f_ASAP7_75t_R,26496,5328
drc_buf_sp165083,BUFx12f_ASAP7_75t_R,25200,5328
drc_buf_sp165146,BUFx12f_ASAP7_75t_R,28062,4248
drc_buf_sp165147,BUFx12f_ASAP7_75t_R,28710,4518
drc_buf_sp165148,BUFx12f_ASAP7_75t_R,28440,3978
drc_buf_sp165270,BUFx12f_ASAP7_75t_R,40428,5328
drc_buf_sp165271,BUFx12f_ASAP7_75t_R,40482,5598
drc_buf_sp165428,INVx1_ASAP7_75t_SL,22338,9378
drc_buf_sp165457,INVx1_ASAP7_75t_SL,24552,42588
drc_buf_sp165486,INVx1_ASAP7_75t_SL,42264,26388
drc_buf_sp165576,INVx2_ASAP7_75t_SL,40482,41508
drc_buf_sp165631,INVx1_ASAP7_75t_SL,41184,26658
drc_buf_sp165634,INVx2_ASAP7_75t_SL,41346,26658
drc_buf_sp165659,INVx2_ASAP7_75t_SL,43182,26388
drc_buf_sp165660,INVx1_ASAP7_75t_SL,43452,26388
drc_buf_sp165692,INVx2_ASAP7_75t_SL,43398,37188
drc_buf_sp165718,INVx1_ASAP7_75t_SL,15696,31788
drc_buf_sp165747,INVx1_ASAP7_75t_SL,39942,26928
drc_buf_sp165775,INVx1_ASAP7_75t_SL,20124,44478
drc_buf_sp165777,INVx2_ASAP7_75t_SL,20070,43938
drc_buf_sp165826,INVx2_ASAP7_75t_SL,33948,33408
drc_buf_sp165827,INVx1_ASAP7_75t_SL,33570,33408
drc_buf_sp165829,INVx2_ASAP7_75t_SL,33732,33408
drc_buf_sp165935,INVx1_ASAP7_75t_SL,35406,29088
drc_buf_sp165962,INVx2_ASAP7_75t_SL,34488,30168
drc_buf_sp165988,INVx1_ASAP7_75t_SL,19098,23688
drc_buf_sp166284,INVxp67_ASAP7_75t_SL,22446,29898
drc_buf_sp166329,BUFx12f_ASAP7_75t_R,1818,28548
drc_buf_sp166354,BUFx12f_ASAP7_75t_R,3276,20988
drc_buf_sp166379,BUFx12f_ASAP7_75t_R,3384,20718
drc_buf_sp166404,BUFx12f_ASAP7_75t_R,1440,28278
drc_buf_sp166429,BUFx12f_ASAP7_75t_R,9864,20718
drc_buf_sp166454,BUFx12f_ASAP7_75t_R,8892,20718
drc_buf_sp166649,BUFx6f_ASAP7_75t_R,10188,25578
drc_buf_sp170772,INVx2_ASAP7_75t_SL,22554,30168
drc_buf_sp213876,BUFx3_ASAP7_75t_SL,35892,40158
drc_buf_sp213877,BUFx3_ASAP7_75t_SL,41454,26928
drc_buf_sp213888,BUFx3_ASAP7_75t_SL,33138,28548
drc_buf_sp213889,BUFx3_ASAP7_75t_SL,42264,26658
drc_buf_sp213900,BUFx3_ASAP7_75t_SL,17586,32598
