net_name,driver_pin,sink_pins,fanout
net53,drc_bufs164535/Y,['output53/A'],1
ac97_rst_force,u13_ac97_rst_force_reg/QN,"['g221873/A', 'g178214/A', 'g175813/D', 'g175811/C']",4
bit_clk_pad_i,,['input1/A'],1
clk_i,,['clkbuf_0_clk_i/A'],1
crac_din[0],u15_crac_din_reg\[0\]/QN,"['g193561/A1', 'g159414/A']",2
crac_din[10],u15_crac_din_reg\[10\]/QN,"['g193568/A1', 'g169948/A']",2
crac_din[11],u15_crac_din_reg\[11\]/QN,"['g193564/A1', 'g159381/A']",2
crac_din[12],u15_crac_din_reg\[12\]/QN,"['g193555/A1', 'g159403/A']",2
crac_din[13],u15_crac_din_reg\[13\]/QN,"['g193559/A1', 'g159392/A']",2
crac_din[14],u15_crac_din_reg\[14\]/QN,"['g193556/A1', 'g169953/B']",2
crac_din[15],u15_crac_din_reg\[15\]/QN,['g193562/A1'],1
crac_din[1],u15_crac_din_reg\[1\]/QN,['g193563/A1'],1
crac_din[2],u15_crac_din_reg\[2\]/QN,"['g193569/A1', 'g159401/A']",2
crac_din[3],u15_crac_din_reg\[3\]/QN,"['g193565/A1', 'g159384/A']",2
crac_din[4],u15_crac_din_reg\[4\]/QN,['g193567/A1'],1
crac_din[5],u15_crac_din_reg\[5\]/QN,['g193557/A1'],1
crac_din[6],u15_crac_din_reg\[6\]/QN,['g193552/A1'],1
crac_din[7],u15_crac_din_reg\[7\]/QN,['g193558/A1'],1
crac_din[8],u15_crac_din_reg\[8\]/QN,"['g193554/A1', 'g159376/A']",2
crac_din[9],u15_crac_din_reg\[9\]/QN,"['g193570/A1', 'g169958/A']",2
crac_out[0],u13_crac_dout_r_reg\[0\]/QN,"['g176743/A1', 'g152528__2346/B1']",2
crac_out[10],u13_crac_dout_r_reg\[10\]/QN,"['g213854/A1', 'g152508__7098/B1']",2
crac_out[11],u13_crac_dout_r_reg\[11\]/QN,"['g172169/A1', 'g152506__8246/B1']",2
crac_out[12],u13_crac_dout_r_reg\[12\]/QN,"['g82/A1', 'g152504__5122/B1']",2
crac_out[13],u13_crac_dout_r_reg\[13\]/QN,"['g172175/A1', 'g152502__1705/B1']",2
crac_out[14],u13_crac_dout_r_reg\[14\]/QN,"['g172128/A1', 'g152500__2802/B1']",2
crac_out[15],u13_crac_dout_r_reg\[15\]/QN,"['g172136/A1', 'g152498__1617/B1']",2
crac_out[16],u13_crac_r_reg\[0\]/QN,"['g171495/A1', 'g163689/A2', 'g152472__2346/B1']",3
crac_out[17],u13_crac_r_reg\[1\]/QN,"['g159501/A', 'g152470__2883/B1']",2
crac_out[18],u13_crac_r_reg\[2\]/QN,"['g196639/A1', 'g152468__9945/B1']",2
crac_out[19],u13_crac_r_reg\[3\]/QN,"['g171504/A1', 'g159453/A', 'g152466__9315/B1']",3
crac_out[1],u13_crac_dout_r_reg\[1\]/QN,"['g172114/A1', 'g152526__2883/B1']",2
crac_out[20],u13_crac_r_reg\[4\]/QN,"['g171473/A1', 'g163204/A1', 'g152464__6161/B1']",3
crac_out[21],u13_crac_r_reg\[5\]/QN,"['g210439/A1', 'g152462__4733/B1']",2
crac_out[22],u13_crac_r_reg\[6\]/QN,"['g213833/A1', 'g152460__7482/B1']",2
crac_out[2],u13_crac_dout_r_reg\[2\]/QN,"['g172126/A1', 'g152524__9945/B1']",2
crac_out[31],u13_crac_r_reg\[7\]/QN,"['g175582/A', 'g171492/A1', 'g156687/B', 'g152458__5115/B1']",4
crac_out[3],u13_crac_dout_r_reg\[3\]/QN,"['g172155/A1', 'g152522__9315/B1']",2
crac_out[4],u13_crac_dout_r_reg\[4\]/QN,"['g215497/A1', 'g152520__6161/B1']",2
crac_out[5],u13_crac_dout_r_reg\[5\]/QN,"['g172159/A1', 'g152518__4733/B1']",2
crac_out[6],u13_crac_dout_r_reg\[6\]/QN,"['g85/A1', 'g152516__7482/B1']",2
crac_out[7],u13_crac_dout_r_reg\[7\]/QN,"['g181508/A1', 'g152514__5115/B1']",2
crac_out[8],u13_crac_dout_r_reg\[8\]/QN,"['g172124/A1', 'g152512__1881/B1']",2
crac_out[9],u13_crac_dout_r_reg\[9\]/QN,"['g172157/A1', 'g152510__6131/B1']",2
